	    106.428800       0.000000       0.000000
	      0.000000     106.428800       0.000000
	      0.000000       0.000000     106.428800
    509 0   5.32144000e+01   4.98885000e+01   3.32590000e+00 0.0
    574 1   4.98885000e+01   5.32144000e+01   3.32590000e+00 0.0
    577 0   5.32144000e+01   5.65403000e+01   3.32590000e+00 0.0
    578 0   5.65403000e+01   5.32144000e+01   3.32590000e+00 0.0
   1457 1   4.65626000e+01   2.99331000e+01   9.97770000e+00 0.0
   1461 1   5.32144000e+01   2.99331000e+01   9.97770000e+00 0.0
   1465 0   5.98662000e+01   2.99331000e+01   9.97770000e+00 0.0
   1521 1   3.99108000e+01   3.65849000e+01   9.97770000e+00 0.0
   1522 1   4.32367000e+01   3.32590000e+01   9.97770000e+00 0.0
   1525 0   4.65626000e+01   3.65849000e+01   9.97770000e+00 0.0
   1526 1   4.98885000e+01   3.32590000e+01   9.97770000e+00 0.0
   1527 0   4.98885000e+01   3.65849000e+01   6.65180000e+00 0.0
   1529 1   5.32144000e+01   3.65849000e+01   9.97770000e+00 0.0
   1530 0   5.65403000e+01   3.32590000e+01   9.97770000e+00 0.0
   1531 0   5.65403000e+01   3.65849000e+01   6.65180000e+00 0.0
   1533 1   5.98662000e+01   3.65849000e+01   9.97770000e+00 0.0
   1534 0   6.31921000e+01   3.32590000e+01   9.97770000e+00 0.0
   1537 0   6.65180000e+01   3.65849000e+01   9.97770000e+00 0.0
   1585 0   3.32590000e+01   4.32367000e+01   9.97770000e+00 0.0
   1586 0   3.65849000e+01   3.99108000e+01   9.97770000e+00 0.0
   1589 1   3.99108000e+01   4.32367000e+01   9.97770000e+00 0.0
   1590 1   4.32367000e+01   3.99108000e+01   9.97770000e+00 0.0
   1591 0   4.32367000e+01   4.32367000e+01   6.65180000e+00 0.0
   1592 0   4.65626000e+01   3.99108000e+01   6.65180000e+00 0.0
   1593 1   4.65626000e+01   4.32367000e+01   9.97770000e+00 0.0
   1594 1   4.98885000e+01   3.99108000e+01   9.97770000e+00 0.0
   1595 3   4.98885000e+01   4.32367000e+01   6.65180000e+00 0.0
   1596 3   5.32144000e+01   3.99108000e+01   6.65180000e+00 0.0
   1597 3   5.32144000e+01   4.32367000e+01   9.97770000e+00 0.0
   1598 5   5.65403000e+01   3.99108000e+01   9.97770000e+00 0.0
   1599 7   5.65403000e+01   4.32367000e+01   6.65180000e+00 0.0
   1600 0   5.98662000e+01   3.99108000e+01   6.65180000e+00 0.0
   1601 0   5.98662000e+01   4.32367000e+01   9.97770000e+00 0.0
   1602 0   6.31921000e+01   3.99108000e+01   9.97770000e+00 0.0
   1603 1   6.31921000e+01   4.32367000e+01   6.65180000e+00 0.0
   1605 1   6.65180000e+01   4.32367000e+01   9.97770000e+00 0.0
   1606 1   6.98439000e+01   3.99108000e+01   9.97770000e+00 0.0
   1609 1   7.31698000e+01   4.32367000e+01   9.97770000e+00 0.0
   1650 1   2.99331000e+01   4.65626000e+01   9.97770000e+00 0.0
   1653 1   3.32590000e+01   4.98885000e+01   9.97770000e+00 0.0
   1654 1   3.65849000e+01   4.65626000e+01   9.97770000e+00 0.0
   1655 0   3.65849000e+01   4.98885000e+01   6.65180000e+00 0.0
   1656 1   3.99108000e+01   4.65626000e+01   6.65180000e+00 0.0
   1657 0   3.99108000e+01   4.98885000e+01   9.97770000e+00 0.0
   1658 0   4.32367000e+01   4.65626000e+01   9.97770000e+00 0.0
   1659 0   4.32367000e+01   4.98885000e+01   6.65180000e+00 0.0
   1660 1   4.65626000e+01   4.65626000e+01   6.65180000e+00 0.0
   1661 0   4.65626000e+01   4.98885000e+01   9.97770000e+00 0.0
   1662 1   4.98885000e+01   4.65626000e+01   9.97770000e+00 0.0
   1663 1   4.98885000e+01   4.98885000e+01   6.65180000e+00 0.0
   1664 1   5.32144000e+01   4.65626000e+01   6.65180000e+00 0.0
   1665 1   5.32144000e+01   4.98885000e+01   9.97770000e+00 0.0
   1666 1   5.65403000e+01   4.65626000e+01   9.97770000e+00 0.0
   1667 1   5.65403000e+01   4.98885000e+01   6.65180000e+00 0.0
   1668 1   5.98662000e+01   4.65626000e+01   6.65180000e+00 0.0
   1669 0   5.98662000e+01   4.98885000e+01   9.97770000e+00 0.0
   1670 1   6.31921000e+01   4.65626000e+01   9.97770000e+00 0.0
   1671 0   6.31921000e+01   4.98885000e+01   6.65180000e+00 0.0
   1672 0   6.65180000e+01   4.65626000e+01   6.65180000e+00 0.0
   1673 0   6.65180000e+01   4.98885000e+01   9.97770000e+00 0.0
   1674 0   6.98439000e+01   4.65626000e+01   9.97770000e+00 0.0
   1675 0   6.98439000e+01   4.98885000e+01   6.65180000e+00 0.0
   1677 0   7.31698000e+01   4.98885000e+01   9.97770000e+00 0.0
   1678 0   7.64957000e+01   4.65626000e+01   9.97770000e+00 0.0
   1718 0   2.99331000e+01   5.32144000e+01   9.97770000e+00 0.0
   1721 0   3.32590000e+01   5.65403000e+01   9.97770000e+00 0.0
   1722 0   3.65849000e+01   5.32144000e+01   9.97770000e+00 0.0
   1723 0   3.65849000e+01   5.65403000e+01   6.65180000e+00 0.0
   1724 1   3.99108000e+01   5.32144000e+01   6.65180000e+00 0.0
   1725 0   3.99108000e+01   5.65403000e+01   9.97770000e+00 0.0
   1726 1   4.32367000e+01   5.32144000e+01   9.97770000e+00 0.0
   1727 0   4.32367000e+01   5.65403000e+01   6.65180000e+00 0.0
   1728 1   4.65626000e+01   5.32144000e+01   6.65180000e+00 0.0
   1729 1   4.65626000e+01   5.65403000e+01   9.97770000e+00 0.0
   1730 0   4.98885000e+01   5.32144000e+01   9.97770000e+00 0.0
   1731 1   4.98885000e+01   5.65403000e+01   6.65180000e+00 0.0
   1732 1   5.32144000e+01   5.32144000e+01   6.65180000e+00 0.0
   1733 1   5.32144000e+01   5.65403000e+01   9.97770000e+00 0.0
   1734 1   5.65403000e+01   5.32144000e+01   9.97770000e+00 0.0
   1735 1   5.65403000e+01   5.65403000e+01   6.65180000e+00 0.0
   1736 0   5.98662000e+01   5.32144000e+01   6.65180000e+00 0.0
   1737 0   5.98662000e+01   5.65403000e+01   9.97770000e+00 0.0
   1738 0   6.31921000e+01   5.32144000e+01   9.97770000e+00 0.0
   1739 1   6.31921000e+01   5.65403000e+01   6.65180000e+00 0.0
   1740 1   6.65180000e+01   5.32144000e+01   6.65180000e+00 0.0
   1741 1   6.65180000e+01   5.65403000e+01   9.97770000e+00 0.0
   1742 0   6.98439000e+01   5.32144000e+01   9.97770000e+00 0.0
   1743 0   6.98439000e+01   5.65403000e+01   6.65180000e+00 0.0
   1745 0   7.31698000e+01   5.65403000e+01   9.97770000e+00 0.0
   1746 1   7.64957000e+01   5.32144000e+01   9.97770000e+00 0.0
   1786 1   2.99331000e+01   5.98662000e+01   9.97770000e+00 0.0
   1789 0   3.32590000e+01   6.31921000e+01   9.97770000e+00 0.0
   1790 1   3.65849000e+01   5.98662000e+01   9.97770000e+00 0.0
   1792 1   3.99108000e+01   5.98662000e+01   6.65180000e+00 0.0
   1793 0   3.99108000e+01   6.31921000e+01   9.97770000e+00 0.0
   1794 1   4.32367000e+01   5.98662000e+01   9.97770000e+00 0.0
   1795 1   4.32367000e+01   6.31921000e+01   6.65180000e+00 0.0
   1796 1   4.65626000e+01   5.98662000e+01   6.65180000e+00 0.0
   1797 1   4.65626000e+01   6.31921000e+01   9.97770000e+00 0.0
